"hat";"mean";"se_mean";"sd";"2.5%";"25%";"50%";"75%";"97.5%";"n_eff";"Rhat"
"y_hat[164]";-5.52;0.03;0.63;-6.8;-5.94;-5.49;-5.07;-4.39;390.33;1
"y_hat[165]";-2.29;0;0.13;-2.54;-2.38;-2.29;-2.2;-2.04;2582.15;1
"y_hat[166]";-5.1;0.03;0.52;-6.14;-5.44;-5.08;-4.73;-4.15;416.59;1
"y_hat[167]";-5.95;0.04;0.76;-7.51;-6.46;-5.91;-5.41;-4.62;371.83;1
"y_hat[168]";-0.05;0;0.06;-0.17;-0.09;-0.05;-0.01;0.06;2096.01;1
"y_hat[169]";-5.34;0.03;0.58;-6.51;-5.72;-5.31;-4.92;-4.29;400.51;1
"y_hat[170]";0.11;0;0.06;-0.01;0.07;0.11;0.14;0.21;2283.29;1
"y_hat[171]";-0.17;0;0.06;-0.29;-0.21;-0.16;-0.13;-0.05;1857.07;1
"y_hat[172]";-5.33;0.03;0.57;-6.5;-5.72;-5.31;-4.92;-4.29;400.85;1
"y_hat[173]";-6.24;0.04;0.85;-8.01;-6.8;-6.18;-5.63;-4.77;362.84;1
"y_hat[174]";0.4;0;0.06;0.29;0.36;0.4;0.44;0.51;1436.43;1
"y_hat[175]";0.2;0;0.06;0.08;0.16;0.2;0.24;0.31;2207.99;1
"y_hat[176]";-5.27;0.03;0.56;-6.4;-5.64;-5.24;-4.87;-4.25;404.81;1
"y_hat[177]";0.2;0;0.06;0.09;0.17;0.21;0.24;0.31;2195.57;1
"y_hat[178]";-4.87;0.02;0.46;-5.81;-5.18;-4.85;-4.54;-4.02;436.19;1
"y_hat[179]";-0.12;0;0.06;-0.24;-0.16;-0.12;-0.08;-0.01;1959.93;1
"y_hat[180]";-0.61;0;0.07;-0.76;-0.66;-0.61;-0.56;-0.47;910.71;1
"y_hat[181]";-2.42;0;0.13;-2.68;-2.51;-2.42;-2.33;-2.16;2558.95;1
"y_hat[182]";0.39;0;0.06;0.28;0.35;0.39;0.43;0.5;1472.84;1
"y_hat[183]";-4.97;0.02;0.48;-5.94;-5.29;-4.95;-4.62;-4.08;427.29;1
"y_hat[184]";-6.25;0.04;0.85;-8.02;-6.81;-6.19;-5.63;-4.77;362.58;1
"y_hat[185]";-5.73;0.04;0.69;-7.14;-6.19;-5.7;-5.23;-4.51;380.46;1
"y_hat[186]";0.42;0;0.06;0.31;0.38;0.42;0.46;0.54;1355.03;1
"y_hat[187]";-0.15;0;0.06;-0.27;-0.19;-0.15;-0.11;-0.04;1892.66;1
"y_hat[188]";0.19;0;0.06;0.08;0.15;0.19;0.23;0.3;2216.82;1
"y_hat[189]";0.44;0;0.06;0.33;0.4;0.44;0.48;0.56;1307.38;1
"y_hat[190]";0.21;0;0.06;0.1;0.18;0.21;0.25;0.32;2179.83;1
"y_hat[191]";-4.46;0.02;0.38;-5.21;-4.71;-4.45;-4.19;-3.76;486.82;1
"y_hat[192]";-5.49;0.03;0.62;-6.76;-5.91;-5.46;-5.05;-4.38;391.74;1
"y_hat[193]";-6.05;0.04;0.79;-7.68;-6.57;-6;-5.48;-4.67;368.63;1
"y_hat[194]";-5.2;0.03;0.54;-6.31;-5.57;-5.19;-4.82;-4.21;408.92;1
"y_hat[195]";-5.51;0.03;0.62;-6.78;-5.92;-5.48;-5.06;-4.38;391.02;1
"y_hat[196]";-1.08;0;0.09;-1.26;-1.14;-1.08;-1.02;-0.92;934.32;1
"y_hat[197]";-0.21;0;0.06;-0.33;-0.25;-0.21;-0.16;-0.09;1704.23;1
"y_hat[198]";-6.49;0.05;0.94;-8.45;-7.11;-6.42;-5.81;-4.89;356.35;1
"y_hat[199]";-5.21;0.03;0.54;-6.32;-5.57;-5.19;-4.82;-4.21;408.68;1
"y_hat[200]";0.03;0;0.06;-0.08;0;0.03;0.07;0.14;2234.9;1
"y_hat[201]";-5.25;0.03;0.55;-6.38;-5.62;-5.23;-4.85;-4.24;405.81;1
"y_hat[202]";0.17;0;0.06;0.05;0.13;0.17;0.21;0.28;2249.91;1
"y_hat[203]";-5.3;0.03;0.57;-6.45;-5.68;-5.27;-4.89;-4.27;402.81;1
"y_hat[204]";0.49;0;0.06;0.37;0.45;0.49;0.53;0.61;1261.26;1
"y_hat[205]";-0.04;0;0.06;-0.15;-0.07;-0.03;0;0.07;2127.75;1
"y_hat[206]";-4.78;0.02;0.44;-5.67;-5.07;-4.77;-4.46;-3.97;445.43;1
"y_hat[207]";0.45;0;0.06;0.34;0.41;0.45;0.49;0.57;1277.67;1
"y_hat[208]";-5.22;0.03;0.55;-6.33;-5.58;-5.2;-4.83;-4.22;408.06;1
