"shore";"ref_ecotype";"distAlongPath";"length_mm";"test_sex";"dur_mean";"dur_max";"mountYN";"size_ratio";"size_ratio2";"log_male";"log_female";"shape";"y_rep";"y_rep_se";"preds";"uci_preds";"lci_preds";"y_preds"
"CZB";"wave";104.858032;10.00209531;"male";NA;NA;0;-0.415724953;0.172827237;2.302794602;1.887069649;0.047324611;0.20475;0.00662551301148905;0.213;0.244;0.183;0
"CZB";"crab";104.858032;10.00209531;"male";NA;NA;0;-0.261574273;0.0684211;2.302794602;2.041220329;0.047324611;0.3415;0.00763492521942681;0.345;0.377;0.312;0
"CZB";"crab";104.858032;10.00209531;"male";39;39;1;0.269817628;0.072801552;2.302794602;2.57261223;0.047324611;0.61975;0.00767656933820057;0.619;0.648;0.592;1
"CZB";"wave";105.0036417;10.98592544;"male";NA;NA;0;-0.870558645;0.757872354;2.396614948;1.526056303;0.042366011;0.02425;0.00251219771940599;0.024;0.037;0.014;0
"CZB";"wave";105.0036417;10.98592544;"male";26;26;1;-0.244852745;0.059952867;2.396614948;2.151762203;0.042366011;0.36275;0.00760296393784424;0.359;0.391;0.327;0
"CZB";"crab";105.0036417;10.98592544;"male";NA;NA;0;0.05439015;0.002958288;2.396614948;2.451005098;0.042366011;0.5545;0.00799030307010688;0.568;0.594;0.541;0
"CZB";"crab";105.0036417;10.98592544;"male";NA;NA;0;0.104821004;0.010987443;2.396614948;2.501435952;0.042366011;0.594;0.00776569871416151;0.587;0.614;0.561;1
"CZD";"crab";105.0504384;11.06808403;"female";NA;NA;0;-0.183698381;0.033745095;2.587764035;2.404065654;0.148457153;0.4195;0.00780353517902768;0.412;0.442;0.381;0
"CZD";"crab";105.0504384;11.06808403;"female";NA;NA;0;-0.227823186;0.051903404;2.63188884;2.404065654;0.148457153;0.36825;0.0076272556094596;0.374;0.406;0.342;1
"CZD";"wave";105.0504384;11.06808403;"female";NA;NA;0;1.151302686;1.325497874;1.252762968;2.404065654;0.148457153;0.23675;0.00737937194390877;0.238;0.271;0.207;0
"CZD";"wave";105.0504384;11.06808403;"female";NA;NA;0;1.095732834;1.200630444;1.30833282;2.404065654;0.148457153;0.27225;0.00736521635916477;0.266;0.301;0.234;1
