"rep";"y_rep"
"y_rep[521]";0.52725
"y_rep[522]";0.4775
"y_rep[523]";0.01825
"y_rep[524]";0.0155
"y_rep[525]";0.23175
"y_rep[526]";0.09275
"y_rep[527]";0.3655
"y_rep[528]";0.11575
"y_rep[529]";0.323
"y_rep[530]";0.487
"y_rep[531]";0.624
"y_rep[532]";0.60575
"y_rep[533]";0.3595
"y_rep[534]";0.6225
"y_rep[535]";0.62425
"y_rep[536]";0.01725
"y_rep[537]";0.00625
"y_rep[538]";0.0345
"y_rep[539]";0.544
"y_rep[540]";0.0455
"y_rep[541]";0.0305
"y_rep[542]";0.0325
"y_rep[543]";0.61625
"y_rep[544]";0.01625
"y_rep[545]";0.604
"y_rep[546]";0.6105
"y_rep[547]";0.4365
"y_rep[548]";0.624
"y_rep[549]";0.4815
"y_rep[550]";0.0365
"y_rep[551]";0.0125
"y_rep[552]";0.01925
"y_rep[553]";0.01925
"y_rep[554]";0.02075
"y_rep[555]";0.0235
"y_rep[556]";0.0135
"y_rep[557]";0.34375
"y_rep[558]";0.21725
"y_rep[559]";0.022
"y_rep[560]";0.57775
"y_rep[561]";0.29575
"y_rep[562]";0.0125
"y_rep[563]";0.038
"y_rep[564]";0.013
"y_rep[565]";0.01425
"y_rep[566]";0.5715
"y_rep[567]";0.3455
"y_rep[568]";0.59675
"y_rep[569]";0.034
"y_rep[570]";0.01675
"y_rep[571]";0.6265
"y_rep[572]";0.52425
"y_rep[573]";0.0215
"y_rep[574]";0.01175
"y_rep[575]";0.5745
"y_rep[576]";0.5705
"y_rep[577]";0.0685
"y_rep[578]";0.01725
"y_rep[579]";0.02425
"y_rep[580]";0.019
"y_rep[581]";0.4705
"y_rep[582]";0.251
"y_rep[583]";0.032
"y_rep[584]";0.26625
"y_rep[585]";0.0315
"y_rep[586]";0.2185
"y_rep[587]";0.6215
"y_rep[588]";0.5675
"y_rep[589]";0.612
"y_rep[590]";0.6195
"y_rep[591]";0.034
"y_rep[592]";0.0335
"y_rep[593]";0.0425
"y_rep[594]";0.0195
"y_rep[595]";0.02225
"y_rep[596]";0.0225
"y_rep[597]";0.54925
"y_rep[598]";0.596
"y_rep[599]";0.05725
"y_rep[600]";0.0165
"y_rep[601]";0.607
"y_rep[602]";0.60175
"y_rep[603]";0.05475
"y_rep[604]";0.01375
"y_rep[605]";0.498
"y_rep[606]";0.222
"y_rep[607]";0.03275
"y_rep[608]";0.6175
"y_rep[609]";0.5695
"y_rep[610]";0.602
"y_rep[611]";0.0335
"y_rep[612]";0.0175
"y_rep[613]";0.54375
"y_rep[614]";0.61875
"y_rep[615]";0.0115
"y_rep[616]";0.00575
"y_rep[617]";0.60025
"y_rep[618]";0.60175
"y_rep[619]";0.4615
"y_rep[620]";0.03225
"y_rep[621]";0.01575
"y_rep[622]";0.52975
"y_rep[623]";0.0245
"y_rep[624]";0.019
"y_rep[625]";0.62375
"y_rep[626]";0.591
"y_rep[627]";0.628
"y_rep[628]";0.025
"y_rep[629]";0.0125
"y_rep[630]";0.61975
"y_rep[631]";0.535
"y_rep[632]";0.016
"y_rep[633]";0.05125
"y_rep[634]";0.606
"y_rep[635]";0.59
"y_rep[636]";0.01225
"y_rep[637]";0.614
"y_rep[638]";0.41275
"y_rep[639]";0.02325
"y_rep[640]";0.6165
"y_rep[641]";0.0385
"y_rep[642]";0.136
"y_rep[643]";0.063
"y_rep[644]";0.064
"y_rep[645]";0.597
"y_rep[646]";0.6245
"y_rep[647]";0.0275
"y_rep[648]";0.00675
"y_rep[649]";0.00875
"y_rep[650]";0.0345
"y_rep[651]";0.0165
"y_rep[652]";0.6095
"y_rep[653]";0.61125
"y_rep[654]";0.02675
"y_rep[655]";0.01175
"y_rep[656]";0.5415
"y_rep[657]";0.2775
"y_rep[658]";0.608
"y_rep[659]";0.068
"y_rep[660]";0.593
"y_rep[661]";0.47125
"y_rep[662]";0.02825
"y_rep[663]";0.07775
"y_rep[664]";0.06225
"y_rep[665]";0.565
"y_rep[666]";0.5395
"y_rep[667]";0.37175
"y_rep[668]";0.03425
"y_rep[669]";0.61425
"y_rep[670]";0.37925
"y_rep[671]";0.61275
"y_rep[672]";0.62
"y_rep[673]";0.0375
"y_rep[674]";0.159
"y_rep[675]";0.5995
"y_rep[676]";0.0245
"y_rep[677]";0.01175
"y_rep[678]";0.6305
"y_rep[679]";0.59075
"y_rep[680]";0.22575
"y_rep[681]";0.02375
"y_rep[682]";0.605
"y_rep[683]";0.61475
"y_rep[684]";0.0195
"y_rep[685]";0.00975
"y_rep[686]";0.61425
"y_rep[687]";0.52075
"y_rep[688]";0.0275
"y_rep[689]";0.02525
"y_rep[690]";0.619
"y_rep[691]";0.03725
"y_rep[692]";0.0175
"y_rep[693]";0.25725
"y_rep[694]";0.59325
"y_rep[695]";0.5755
"y_rep[696]";0.008
"y_rep[697]";0.6235
"y_rep[698]";0.5465
"y_rep[699]";0.608
"y_rep[700]";0.014
"y_rep[701]";0.014
"y_rep[702]";0.634
"y_rep[703]";0.36725
"y_rep[704]";0.0135
"y_rep[705]";0.0395
"y_rep[706]";0.11825
"y_rep[707]";0.0535
"y_rep[708]";0.5925
"y_rep[709]";0.541
"y_rep[710]";0.017
"y_rep[711]";0.416
"y_rep[712]";0.63425
"y_rep[713]";0.04125
"y_rep[714]";0.0205
"y_rep[715]";0.56275
"y_rep[716]";0.544
"y_rep[717]";0.01825
"y_rep[718]";0.62125
"y_rep[719]";0.61
"y_rep[720]";0.6135
"y_rep[721]";0.514
"y_rep[722]";0.01875
"y_rep[723]";0.03975
"y_rep[724]";0.02675
"y_rep[725]";0.016
"y_rep[726]";0.346
"y_rep[727]";0.5795
"y_rep[728]";0.48725
"y_rep[729]";0.08475
"y_rep[730]";0.0655
"y_rep[731]";0.07575
"y_rep[732]";0.00875
"y_rep[733]";0.539
"y_rep[734]";0.011
"y_rep[735]";0.03225
"y_rep[736]";0.08675
"y_rep[737]";0.0355
"y_rep[738]";0.62225
"y_rep[739]";0.618
"y_rep[740]";0.05725
"y_rep[741]";0.02675
"y_rep[742]";0.51675
"y_rep[743]";0.1085
"y_rep[744]";0.46875
"y_rep[745]";0.37025
"y_rep[746]";0.02275
"y_rep[747]";0.012
"y_rep[748]";0.6215
"y_rep[749]";0.0245
"y_rep[750]";0.59575
"y_rep[751]";0.0715
"y_rep[752]";0.59325
"y_rep[753]";0.595
"y_rep[754]";0.02275
"y_rep[755]";0.61075
"y_rep[756]";0.6075
"y_rep[757]";0.01325
"y_rep[758]";0.015
"y_rep[759]";0.05475
"y_rep[760]";0.008
"y_rep[761]";0.6245
"y_rep[762]";0.62625
"y_rep[763]";0.60875
"y_rep[764]";0.00675
"y_rep[765]";0.06
"y_rep[766]";0.02225
"y_rep[767]";0.10475
"y_rep[768]";0.39225
"y_rep[769]";0.29175
"y_rep[770]";0.62675
"y_rep[771]";0.01275
"y_rep[772]";0.021
"y_rep[773]";0.03075
"y_rep[774]";0.04925
"y_rep[775]";0.61475
"y_rep[776]";0.01825
"y_rep[777]";0.0305
"y_rep[778]";0.6265
"y_rep[779]";0.0115
"y_rep[780]";0.62175
"y_rep[781]";0.61575
"y_rep[782]";0.6145
"y_rep[783]";0.5165
"y_rep[784]";0.02275
"y_rep[785]";0.01075
"y_rep[786]";0.6215
"y_rep[787]";0.598
"y_rep[788]";0.40625
"y_rep[789]";0.02775
"y_rep[790]";0.57325
"y_rep[791]";0.0135
"y_rep[792]";0.60075
"y_rep[793]";0.616
"y_rep[794]";0.02225
"y_rep[795]";0.60975
"y_rep[796]";0.61325
"y_rep[797]";0.0455
"y_rep[798]";0.03325
"y_rep[799]";0.5685
"y_rep[800]";0.4935
"y_rep[801]";0.0275
"y_rep[802]";0.053
"y_rep[803]";0.03575
"y_rep[804]";0.603
"y_rep[805]";0.455
"y_rep[806]";0.0205
"y_rep[807]";0.04625
"y_rep[808]";0.0265
"y_rep[809]";0.02325
"y_rep[810]";0.30025
"y_rep[811]";0.15425
"y_rep[812]";0.04475
"y_rep[813]";0.55225
"y_rep[814]";0.5385
"y_rep[815]";0.54175
"y_rep[816]";0.592
"y_rep[817]";0.1725
"y_rep[818]";0.39075
"y_rep[819]";0.6275
"y_rep[820]";0.55975
"y_rep[821]";0.0665
"y_rep[822]";0.0535
"y_rep[823]";0.62875
"y_rep[824]";0.601
"y_rep[825]";0.5715
"y_rep[826]";0.06975
"y_rep[827]";0.042
"y_rep[828]";0.5865
"y_rep[829]";0.4625
"y_rep[830]";0.02625
"y_rep[831]";0.0105
"y_rep[832]";0.488
"y_rep[833]";0.3475
"y_rep[834]";0.09875
"y_rep[835]";0.0315
"y_rep[836]";0.01375
"y_rep[837]";0.5725
"y_rep[838]";0.55575
"y_rep[839]";0.0245
"y_rep[840]";0.6085
"y_rep[841]";0.4785
"y_rep[842]";0.0515
"y_rep[843]";0.03275
"y_rep[844]";0.546
"y_rep[845]";0.49575
"y_rep[846]";0.063
"y_rep[847]";0.04375
"y_rep[848]";0.602
"y_rep[849]";0.616
"y_rep[850]";0.025
"y_rep[851]";0.01125
"y_rep[852]";0.01375
"y_rep[853]";0.62
"y_rep[854]";0.01325
"y_rep[855]";0.56375
"y_rep[856]";0.0375
"y_rep[857]";0.033
"y_rep[858]";0.053
"y_rep[859]";0.05175
"y_rep[860]";0.556
"y_rep[861]";0.55825
"y_rep[862]";0.59875
"y_rep[863]";0.10425
"y_rep[864]";0.032
"y_rep[865]";0.63175
"y_rep[866]";0.14925
"y_rep[867]";0.037
"y_rep[868]";0.2175
"y_rep[869]";0.4485
"y_rep[870]";0.0785
"y_rep[871]";0.06025
"y_rep[872]";0.037
"y_rep[873]";0.63825
"y_rep[874]";0.59775
"y_rep[875]";0.03225
"y_rep[876]";0.6215
"y_rep[877]";0.02275
"y_rep[878]";0.0115
"y_rep[879]";0.61425
"y_rep[880]";0.61525
"y_rep[881]";0.606
"y_rep[882]";0.03275
"y_rep[883]";0.5955
"y_rep[884]";0.56275
"y_rep[885]";0.02675
"y_rep[886]";0.06625
"y_rep[887]";0.0945
"y_rep[888]";0.06125
"y_rep[889]";0.05025
"y_rep[890]";0.316
"y_rep[891]";0.603
"y_rep[892]";0.613
"y_rep[893]";0.60425
"y_rep[894]";0.1205
"y_rep[895]";0.5955
"y_rep[896]";0.55675
"y_rep[897]";0.62375
"y_rep[898]";0.023
"y_rep[899]";0.5065
"y_rep[900]";0.08975
"y_rep[901]";0.5705
"y_rep[902]";0.18625
"y_rep[903]";0.02225
"y_rep[904]";0.50575
"y_rep[905]";0.50625
"y_rep[906]";0.2035
"y_rep[907]";0.03525
"y_rep[908]";0.1065
"y_rep[909]";0.05225
"y_rep[910]";0.049
"y_rep[911]";0.59825
"y_rep[912]";0.5195
"y_rep[913]";0.0325
"y_rep[914]";0.027
"y_rep[915]";0.61425
"y_rep[916]";0.39575
"y_rep[917]";0.07175
"y_rep[918]";0.0095
"y_rep[919]";0.62275
"y_rep[920]";0.62775
"y_rep[921]";0.13275
"y_rep[922]";0.02575
"y_rep[923]";0.614
"y_rep[924]";0.2045
"y_rep[925]";0.037
"y_rep[926]";0.4985
"y_rep[927]";0.47725
"y_rep[928]";0.03375
"y_rep[929]";0.61825
"y_rep[930]";0.046
"y_rep[931]";0.02625
"y_rep[932]";0.5855
"y_rep[933]";0.5635
"y_rep[934]";0.0775
"y_rep[935]";0.14525
"y_rep[936]";0.6165
"y_rep[937]";0.624
"y_rep[938]";0.528
"y_rep[939]";0.30775
"y_rep[940]";0.4835
"y_rep[941]";0.175
"y_rep[942]";0.17425
"y_rep[943]";0.58175
"y_rep[944]";0.14075
"y_rep[945]";0.61125
"y_rep[946]";0.017
"y_rep[947]";0.5145
"y_rep[948]";0.11125
"y_rep[949]";0.58925
"y_rep[950]";0.564
"y_rep[951]";0.61625
"y_rep[952]";0.06775
"y_rep[953]";0.0325
"y_rep[954]";0.575
"y_rep[955]";0.58425
"y_rep[956]";0.04775
"y_rep[957]";0.037
"y_rep[958]";0.5695
"y_rep[959]";0.586
"y_rep[960]";0.2595
"y_rep[961]";0.037
"y_rep[962]";0.61725
"y_rep[963]";0.61425
"y_rep[964]";0.0555
"y_rep[965]";0.5005
"y_rep[966]";0.5935
"y_rep[967]";0.5245
"y_rep[968]";0.06175
"y_rep[969]";0.033
"y_rep[970]";0.50825
"y_rep[971]";0.06925
"y_rep[972]";0.58225
"y_rep[973]";0.597
"y_rep[974]";0.031
"y_rep[975]";0.58925
"y_rep[976]";0.11825
"y_rep[977]";0.03325
"y_rep[978]";0.60775
"y_rep[979]";0.604
"y_rep[980]";0.02975
"y_rep[981]";0.57125
"y_rep[982]";0.072
"y_rep[983]";0.5375
"y_rep[984]";0.3795
"y_rep[985]";0.529
"y_rep[986]";0.61225
"y_rep[987]";0.05875
"y_rep[988]";0.053
"y_rep[989]";0.089
"y_rep[990]";0.04625
"y_rep[991]";0.03675
"y_rep[992]";0.626
"y_rep[993]";0.07875
"y_rep[994]";0.021
"y_rep[995]";0.0995
"y_rep[996]";0.02875
"y_rep[997]";0.613
"y_rep[998]";0.533
"y_rep[999]";0.06425
"y_rep[1000]";0.04475
"y_rep[1001]";0.57175
"y_rep[1002]";0.59825
"y_rep[1003]";0.01425
"y_rep[1004]";0.162
"y_rep[1005]";0.6075
"y_rep[1006]";0.60675
"y_rep[1007]";0.62075
"y_rep[1008]";0.05675
"y_rep[1009]";0.03175
"y_rep[1010]";0.5355
"y_rep[1011]";0.607
"y_rep[1012]";0.61375
"y_rep[1013]";0.07175
