shore;ref_ecotype;distAlongPath;test_sex;dur_mean;dur_max;mountYN;size_ratio;size_ratio2;log_male;log_female;shape
CZA;crab;234.8041003;female;NA;NA;0;-0.036537211;0.001334968;2.426571073;2.390033862;0.071038431
CZA;crab;182.2305868;female;NA;NA;0;-0.116222413;0.013507649;2.507971923;2.39174951;0.000838712
CZA;wave;182.2305868;female;2;2;1;0.616797159;0.380438735;1.774952351;2.39174951;0.000838712
CZA;crab;299.7326865;male;NA;NA;0;0.794304098;0.630919001;1.598121699;2.392425797;-0.052732221
CZB;crab;70.22263448;female;NA;NA;0;-0.032326593;0.001045009;2.424802726;2.392476133;-0.030195458
CZB;wave;70.22263448;female;NA;NA;0;1.198553665;1.436530887;1.193922468;2.392476133;-0.030195458
CZB;wave;70.22263448;female;NA;NA;0;1.084143313;1.175366724;1.30833282;2.392476133;-0.030195458
CZD;crab;129.9790736;female;NA;NA;0;-0.00524527;2.75e-05;2.397895273;2.392650003;0.012627672
CZD;crab;129.9790736;female;NA;NA;0;-0.058355095;0.003405317;2.451005098;2.392650003;0.012627672
CZB;crab;69.50516498;female;34;34;1;0.004595962;2.11e-05;2.388762789;2.393358751;0.106261326
CZB;crab;69.50516498;female;NA;NA;0;-0.022555027;0.000508729;2.415913778;2.393358751;0.106261326
CZB;wave;69.50516498;female;NA;NA;0;0.744700125;0.554578277;1.648658626;2.393358751;0.106261326
CZB;wave;69.50516498;female;4;4;1;0.706959797;0.499792155;1.686398954;2.393358751;0.106261326
CZA;crab;265.4616271;female;46;46;1;-0.269441758;0.072598861;2.663052835;2.393611077;0.026943865
CZA;wave;265.4616271;female;4;4;1;1.071855237;1.148873649;1.32175584;2.393611077;0.026943865
CZB;crab;82.00521404;male;107;107;1;-0.066697719;0.004448586;2.464592992;2.397895273;0.026342755
CZB;crab;133.2907282;male;NA;NA;0;0.615999288;0.379455123;1.781895985;2.397895273;-0.009917868
CZB;crab;21.12249169;male;9;9;1;0.705792822;0.498143508;1.69210245;2.397895273;-0.014092447
CZB;crab;56.06918373;male;5;5;1;1.145280033;1.311666354;1.25261524;2.397895273;-0.046656952
CZC;crab;22.37546917;male;NA;NA;0;1.272658308;1.619659168;1.125236965;2.397895273;-0.076333642
CZC;crab;50.90745038;male;111;111;1;0.002567716;6.59e-06;2.395327556;2.397895273;-0.022880461
CZC;crab;59.83087349;male;14;14;1;0.040442632;0.001635606;2.357452641;2.397895273;0.010492741
CZC;crab;91.39245681;male;NA;NA;0;-0.174545062;0.030465979;2.572440335;2.397895273;0.06473759
CZC;crab;102.5240272;male;29;29;1;-0.015574942;0.000242579;2.413470215;2.397895273;0.061309607
CZC;crab;109.8520928;male;110;110;1;0.026393158;0.000696599;2.371502115;2.397895273;0.092043376
CZC;crab;67.71405866;male;NA;NA;0;-0.009249771;8.56e-05;2.407145044;2.397895273;0.067952755
CZD;crab;60.6022863;male;NA;NA;0;1.107313983;1.226144257;1.29058129;2.397895273;-0.064708738
CZD;crab;76.14355306;male;NA;NA;0;-0.119053938;0.01417384;2.51694921;2.397895273;0.135294777
CZD;crab;127.7724015;male;NA;NA;0;-0.103053898;0.010620106;2.500949171;2.397895273;0.04903172
CZD;crab;137.0774887;male;NA;NA;0;-0.199751522;0.039900671;2.597646795;2.397895273;0.106114577
CZD;crab;144.8673258;male;NA;NA;0;-0.16775098;0.028140391;2.565646253;2.397895273;0.144011189
CZD;crab;125.0033391;male;NA;NA;0;-0.026941164;0.000725826;2.424836437;2.397895273;0.058310519
CZD;crab;221.6987151;male;NA;NA;0;1.286418934;1.654873674;1.111476339;2.397895273;-0.096352871
CZD;crab;225.0317619;male;NA;NA;0;0.926967792;0.859269287;1.470927481;2.397895273;-0.086928622
CZA;crab;212.4635111;male;9.5;16;1;-0.031788404;0.001010503;2.429683677;2.397895273;0.030653674
CZA;crab;193.8885249;male;86;86;1;-0.064033606;0.004100303;2.461928879;2.397895273;0.015682837
CZC;crab;66.46569891;female;NA;NA;0;0.086160158;0.007423573;2.312535424;2.398695582;0.067933623
CZC;crab;66.46569891;female;9;13;1;0.066551686;0.004429127;2.332143895;2.398695582;0.067933623
CZC;wave;66.46569891;female;NA;NA;0;1.01240122;1.024956231;1.386294361;2.398695582;0.067933623
CZA;crab;105.5094821;male;85;85;1;0.745891462;0.556354073;1.653820342;2.399711804;-0.033915148
CZD;crab;153.3871232;female;19.5;37;1;0.048784353;0.002379913;2.351375257;2.40015961;0.059603674
CZD;crab;153.3871232;female;NA;NA;0;-0.133537204;0.017832185;2.533696814;2.40015961;0.059603674
CZD;wave;153.3871232;female;NA;NA;0;1.119225765;1.252666312;1.280933845;2.40015961;0.059603674
CZD;wave;153.3871232;female;3;4;1;1.013865249;1.027922743;1.386294361;2.40015961;0.059603674
CZD;crab;113.2428308;female;NA;NA;0;-0.03294733;0.001085527;2.433613355;2.400666025;0.077499443
CZD;crab;113.2428308;female;NA;NA;0;-0.04168101;0.001737307;2.442347035;2.400666025;0.077499443
